date,UKR,counterfactual,gap
2012-07-01,12.968739654469807,2.309090909090909,10.659648745378899
2012-08-01,13.528545103699097,2.581818181818182,10.946726921880915
2012-09-01,14.20971637432129,2.5727272727272728,11.636989101594018
2012-10-01,14.43365699466308,2.5363636363636366,11.897293358299443
2012-11-01,14.76825833090476,2.2181818181818183,12.550076512722942
2012-12-01,15.219214159316996,2.2818181818181817,12.937395977498815
2013-01-01,16.589512048228606,1.8636363636363633,14.725875684592243
2013-02-01,19.373739201619088,1.736363636363636,17.637375565255454
2013-03-01,21.865636342010752,1.6363636363636365,20.229272705647116
2013-04-01,26.24404243813092,1.2181818181818183,25.0258606199491
2013-05-01,30.157607753712966,1.418181818181818,28.73942593553115
2013-06-01,31.06327699255589,1.5818181818181818,29.481458810737706
2013-07-01,29.26788963649347,1.518181818181818,27.749707818311652
2013-08-01,26.84571024488265,1.136363636363636,25.709346608519013
2013-09-01,25.963086018526617,0.9272727272727274,25.03581329125389
2013-10-01,24.60731894787709,0.5272727272727273,24.080046220604363
2013-11-01,23.1541723712255,0.5636363636363636,22.590536007589137
2013-12-01,22.31065064265543,0.7363636363636362,21.574287006291794
2014-01-01,22.31065064265545,0.6454545454545454,21.665196097200905
2014-02-01,22.31065064265547,0.5454545454545454,21.765196097200924
2014-03-01,20.88150964196227,0.3272727272727272,20.554236914689543
2014-04-01,18.086561442148085,0.5090909090909091,17.577470533057177
2014-05-01,15.566770606331184,0.30909090909090914,15.257679697240276
2014-06-01,14.654101144484557,0.3909090909090908,14.263192053575466
2014-07-01,14.995333588366954,0.30000000000000004,14.695333588366953
2014-08-01,15.457626386712132,0.40909090909090917,15.048535477621222
2014-09-01,15.342053187125826,0.3272727272727272,15.014780459853098
2014-10-01,14.999791901704086,0.2909090909090909,14.708882810794995
2014-11-01,14.0951721030673,0.2545454545454545,13.840626648521846
2014-12-01,13.6455359568483,-0.2818181818181818,13.927354138666482
2015-01-01,12.309839158139036,-0.6727272727272728,12.98256643086631
2015-02-01,11.109248068984968,-0.4090909090909091,11.518338978075876
2015-03-01,11.547117026892328,-0.1545454545454545,11.701662481437783
2015-04-01,10.997081933071362,-0.00909090909090911,11.006172842162272
2015-05-01,9.676997707901048,0.3818181818181819,9.295179526082865
2015-06-01,8.476552956869332,0.38181818181818183,8.094734775051151
2015-07-01,6.867108550981049,0.38181818181818183,6.485290369162867
2015-08-01,6.760134468347445,0.3181818181818182,6.441952650165627
2015-09-01,8.257771625218036,0.09999999999999996,8.157771625218036
2015-10-01,10.51314186741008,0.2999999999999999,10.21314186741008
2015-11-01,10.07503228617157,0.22727272727272732,9.847759558898844
2015-12-01,9.204013237418462,0.3909090909090909,8.813104146509371
2016-01-01,9.095783293674751,0.4272727272727273,8.668510566402023
2016-02-01,8.238449043822648,0.09090909090909091,8.147539952913556
2016-03-01,7.176246403549635,0.07272727272727271,7.103519130822363
2016-04-01,7.707347723686153,0.0090909090909091,7.698256814595244
2016-05-01,9.435850796483503,0.08181818181818185,9.354032614665321
2016-06-01,10.977200807701548,0.2545454545454545,10.722655353156094
2016-07-01,11.86858394671926,0.3,11.56858394671926
2016-08-01,10.635563482376664,0.3909090909090909,10.244654391467574
2016-09-01,8.886384613090105,0.43636363636363645,8.450020976726469
2016-10-01,5.923489793686221,0.6454545454545454,5.278035248231675
2016-11-01,5.396507257399219,0.5818181818181818,4.814689075581037
2016-12-01,5.186344730465242,0.9909090909090911,4.195435639556151
2017-01-01,4.560235535641022,1.6272727272727274,2.9329628083682944
2017-02-01,3.732035650210208,1.8363636363636366,1.8956720138465715
2017-03-01,3.012388227463436,1.4727272727272727,1.5396609547361635
2017-04-01,1.8948968364357557,1.8272727272727267,0.06762410916302897
2017-05-01,0.5872624249119163,1.3272727272727272,-0.7400103023608109
2017-06-01,-0.5104160340901331,1.090909090909091,-1.6013251249992242
2017-07-01,-1.2040685119400818,1.1818181818181819,-2.3858866937582635
2017-08-01,-0.1029993666830986,1.3636363636363638,-1.4666357303194624
2017-09-01,-0.0027011732761317,1.4181818181818182,-1.42088299145795
2017-10-01,-0.0027011732761095,1.309090909090909,-1.3117920823670186
2017-11-01,-0.0027011732761095,1.4636363636363634,-1.466337536912473
2017-12-01,-0.2024959761267153,1.2818181818181817,-1.484314157944897
2018-01-01,-0.2024959761267264,1.1363636363636362,-1.3388596124903627
2018-02-01,-0.2024959761267153,1.0272727272727271,-1.2297687033994424
2018-03-01,-0.5012908983538678,1.1363636363636365,-1.6376545347175042
2018-04-01,-0.7988942157067358,0.990909090909091,-1.7898033066158268
2018-05-01,-0.7988942157067358,1.6454545454545453,-2.4443487611612813
2018-06-01,-0.4008957973144156,1.781818181818182,-2.182713979132598
2018-07-01,-0.101199395500906,1.936363636363636,-2.037563031864542
2018-08-01,-0.0011003968991896,1.8,-1.8011003968991897
2018-09-01,-0.402299592899602,1.863636363636364,-2.265935956535966
2018-10-01,-0.5017977951044972,2.0,-2.501797795104497
2018-11-01,-0.1038049862849166,1.718181818181818,-1.8219868044667347
2018-12-01,0.1961835873298456,1.3636363636363638,-1.1674527763065181
